,Violence against the person ratio,Sexual offences ratio,Robbery ratio,Theft offences ratio,Criminal damage and arson ratio,Drug offences ratio,Other Crime Ratio,Total Employee All (thousands),Male life expectancy at birth (2012/2020)4,Female life expectancy at birth (2020)4,Median,Lower quartile,total_hoseholds_projected_2020,Year 2020: Households with dependent children ratio,Year 2020: One person households: Female ratio,Year 2020: One person households: Male ratio,pop_ratio_under_10,pop_ratio_teenager,pop_ratio_20_39,pop_ratio_40_60,pop_ratio_60_80,pop_ratio_80_90+,POP All ages,Total area as at 31 December 2020 (Hectares),median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020,Total_Threaten_or_is_Homeless,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,Taxi_only_licensed_drivers,Total_licensed_vehicles,total_drivers,Retail,Education,Health,"Arts, entertainment, recreation & other services"
71,0.399349271,0.033809591,0.008629226,0.261564578,0.140048097,0.027160843,0.129438393,36.2,79.4,82.6,675.0,575.0,44139.0,0.461314122,0.289304228,0.24938165,0.115144984,0.102155172,0.228947884,0.258003527,0.232014107,0.063734326,102080.0,54650.0,197000.0,28175.0,6.99,157500.0,20799.0,7.57,153.0,29650.0,13410.0,2990.0,200.0,63.0,127.0,190.0,245.0,30.0,85.0,205.0
72,0.420575865,0.036234228,0.007764478,0.253316079,0.110967324,0.03121967,0.139922355,18.8,78.3,82.7,750.0,650.0,37398.0,0.463185348,0.265768004,0.271046648,0.109968233,0.116900294,0.241004263,0.262201963,0.213630298,0.056294949,84679.0,2540.0,210000.0,30119.0,6.97,175000.0,23275.0,7.52,126.0,19410.0,14340.0,3550.0,350.0,43.0,128.0,171.0,145.0,30.0,80.0,160.0
73,0.315853262,0.029944722,0.029471755,0.376629519,0.072216146,0.080995595,0.094889001,123.9,80.3,83.6,1200.0,1000.0,153460.0,0.544589511,0.23348726,0.221923229,0.139925829,0.125742801,0.266855053,0.27584716,0.153609582,0.038019575,388563.0,8650.0,390000.0,37458.0,10.41,307500.0,25653.0,11.99,568.0,27380.0,91510.0,35160.0,8140.0,0.0,607.5,607.5,1275.0,305.0,750.0,915.0
74,0.387574459,0.038579302,0.010465958,0.263931415,0.09753382,0.043032901,0.158882147,85.6,79.9,83.4,750.0,650.0,63247.0,0.358548131,0.313121117,0.328330752,0.106550286,0.11884482,0.36694402,0.213902389,0.150010199,0.043748286,142177.0,3900.0,198000.0,26927.0,7.35,161000.0,21147.0,7.61,104.0,51710.0,12420.0,3190.0,680.0,0.0,663.0,663.0,455.0,105.0,255.0,380.0
75,0.420729438,0.034238928,0.009397097,0.2697246,0.127186453,0.022236695,0.116486788,56.0,80.8,83.9,850.0,750.0,54620.0,0.533160553,0.263598167,0.20324128,0.126936757,0.122990734,0.22238929,0.274672182,0.202094369,0.050916668,131018.0,58060.0,290000.0,30342.0,9.56,223000.0,22933.0,9.72,153.0,17740.0,22740.0,12420.0,3530.0,0.0,195.0,195.0,375.0,95.0,240.0,330.0
76,0.389448631,0.028242761,0.014597382,0.313050377,0.109083697,0.024831416,0.120745736,88.8,77.4,81.3,550.0,450.0,58375.0,0.419958114,0.25764774,0.322394146,0.129909051,0.125143083,0.303717733,0.242870126,0.158296739,0.040063269,144147.0,14230.0,150000.0,26918.0,5.57,98000.0,21488.0,4.56,231.0,42480.0,17000.0,4670.0,1010.0,207.0,873.0,1080.0,575.0,95.0,265.0,325.0
77,0.406668361,0.026266734,0.018556177,0.320327063,0.088163023,0.019869514,0.120149127,147.05,78.0,82.5,588.0,520.0,113340.0,0.514075792,0.245939591,0.239984617,0.137313579,0.12680841,0.257819585,0.251342792,0.176809107,0.049906528,286716.0,10400.0,158000.0,27896.0,5.66,120300.0,21338.0,5.64,219.0,79220.0,28900.0,8010.0,880.0,17.0,981.0,998.0,800.0,115.0,375.0,500.0
78,0.372856012,0.030521594,0.010379101,0.289383411,0.09860146,0.050927962,0.14733046,91.9,80.8,83.9,1000.0,850.0,45234.0,0.516308095,0.25624926,0.227442646,0.142112844,0.122463858,0.273112008,0.272036204,0.151999573,0.038275513,112474.0,4500.0,295000.0,31407.0,9.39,250000.0,25264.0,9.9,221.0,8750.0,31110.0,6100.0,480.0,128.0,704.0,832.0,240.0,70.0,130.0,210.0
79,0.286738194,0.021721924,0.02334887,0.438615777,0.07967637,0.056283528,0.093615337,105.6,81.4,84.9,1258.0,1050.0,140192.0,0.491646799,0.274456662,0.233896539,0.128471054,0.115536496,0.23903087,0.28906513,0.176113141,0.05178331,332752.0,15010.0,455000.0,43142.0,10.55,340000.0,28880.0,11.77,219.0,12400.0,66390.0,47700.0,15440.0,0.0,607.5,607.5,930.0,285.0,655.0,1050.0
80,0.322808136,0.028268622,0.019901588,0.31705082,0.106898819,0.029543598,0.175528418,281.8,78.4,82.9,1050.0,875.0,195658.0,0.430865352,0.26101066,0.308123988,0.119538666,0.110855911,0.386812946,0.212640545,0.132847214,0.037304719,465866.0,10970.0,280000.0,32604.0,8.59,224000.0,25456.0,8.8,682.0,128110.0,58920.0,14700.0,3210.0,467.0,1264.0,1731.0,1260.0,330.0,845.0,1240.0
